		Centro	OrdCliente	Planj.MRP	Ordem	Material	Texto breve material	InícProgr.	Fim prog.	FimProgOri	 Qtd.teór.	Qtd.forn.	Qtd. Pend.	Texto da ordem	Mot Atraso	Descrição	Conc Ordem

		1109		061	1132090072	18154874	ENGR ROSCA SEM FIM S03 22 DENTES	25.10.2024	28.10.2024	28.10.2024	       21	       0	       21	OP criada para teste Lote Piloto. Solicitado por Valtor - Paola F. 18.10 Ordem entregue ao Junior - Emilia 31/10
	*								28.10.2024		       21	       0	       21
		1109		020	1132080926	15959687	PINHAO CIL 1 012 ASSENTO DIAM 09 USIN	24.10.2024	04.12.2024	12.11.2024	       17	       0	       17	Seq. Maq. 91130004   Seq1. 1,0000   Seq2. EIXO_PINHAO   Seq3. DIAMETRO ASSENTO 9,00 op entregue no corte 21/10 AS 07:00 POR MARCELO	0018	Suprimentos - ATRASO	28.02.2025
	*								04.12.2024		       17	       0	       17
		1109		011	1132446828	16586946	EIXO SAIDA WCG20 HS 20	05.12.2024	09.12.2024	09.12.2024	        5	       0	        5	Impresso em folha amarela. OP ENTREGUE NO CORTE 03/12 AS 14:30 POR cLARISSA
	*								09.12.2024		        5	       0	        5
		1109		011	1132569071	16587038	EIXO SAIDA WCG20 HS S05 30	06.12.2024	10.12.2024	10.12.2024	        5	       0	        5	Impresso em folha amarela. OP ENTREGUE NO CORTE 04/12 AS 15:00 POR MARCELO
	*								10.12.2024		        5	       0	        5
		1109		100	1133027316	16002317	ENGR 116 5,5 Z041 70	10.10.2024	11.12.2024	04.04.2025	        1	       0	        1	Liberado em atraso devido refugo - Maira 31.01 entregue ao corte por Gilnei 03/02	0157	Usinagem engrenagens - ATRASO	24.03.2025
		1109		020	1133027317	16036575	EIXO PINHAO GH140 IMP 5,5 Z028	10.10.2024	11.12.2024	07.04.2025	        1	       0	        1	Liberado em atraso devido refugo - Maira 31.01 entregue ao corte por Gilnei 03/02	0167	Usinagem Pinhão - ATRASO	24.03.2025
	*								11.12.2024		        2	       0	        2
		1109		011	1132446829	16941707	EIXO SAIDA WCG20 HS S04 25	16.12.2024	18.12.2024	18.12.2024	        5	       0	        5	Impresso em folha amarela. OP ENTREGUE NO CORTE 12/12 AS 15:00 POR MARCELO Ordem reimpressa, solicitado por Gabriel Louzada - Maira 20.01
		1109		011	1132446830	16571614	EIXO SAIDA WCG20 HS S04 30	16.12.2024	18.12.2024	18.12.2024	        5	       0	        5	Impresso em folha amarela.
	*								18.12.2024		       10	       0	       10
		1109		100	1133004889	15898960	ENGR 155 2,75 Z081 67	03.12.2024	14.01.2025	25.02.2025	       15	       0	       15	OP em atraso devido ao refugo - Paola F 31.01 OPENTREGUE NO CORTE 03/02 AS 06:30 POR MARCELO	0157	Usinagem engrenagens - ATRASO	10.03.2025
	*								14.01.2025		       15	       0	       15
		1109		080	1133111100	17520495	CUBO ACOPL ENGR GMAX 137 19,05mm	13.12.2024	16.01.2025	21.02.2025	        3	       0	        3	OP liberada em atraso devido ao ajuste de estoque - Paola F. 10.02 Entregue na serra por Gilnei 10/02 as 07:45	0015	Usinagem de Fundidos - REFUGO	03.03.2025
	*								16.01.2025		        3	       0	        3
		1109		020	1133070783	16037070	EIXO RSF MAC 2 DENTES	20.11.2024	17.01.2025	13.03.2025	        3	       0	        3	OP liberada em atraso devido ao refugo na OP 1132364741 - Paola F. 05.02 entregue no corte por Gilnei 05/02 as 16:00	0011	Usinagem de Eixos - REFUGO	10.03.2025
	*								17.01.2025		        3	       0	        3
		1109		020	1131694645	15974278	EIXO RSF MAC K14 2 DENTES	16.01.2025	21.01.2025	21.01.2025	        5	       0	        5	OP postergada devido a carga de máquina cheia ct 387 - Paola F. 23.09 OP ENTREGUE NO CORTE 04/12 AS 15:00 POR MARCELO	0012	Usinagem de Eixos - ATRASO	21.02.2025
		1109		020	1131694645	15974278	EIXO RSF MAC K14 2 DENTES	16.01.2025	21.01.2025	21.01.2025	        5	       0	        5	OP postergada devido a carga de máquina cheia ct 387 - Paola F. 23.09 OP ENTREGUE NO CORTE 04/12 AS 15:00 POR MARCELO	0167	Usinagem Pinhão - ATRASO	11.02.2025
	*								21.01.2025		       10	       0	       10
		1109		080	1132750866	15996491	MANCAL AXIAL GH110 USIN	14.01.2025	22.01.2025	21.01.2025	       14	       0	       14		0013	Usinagem de fundidos - ATRASO	28.02.2025
		1109		100	1132847651	15920945	EIXO VAZ C/COROA DIR Ø60 Z40	17.01.2025	22.01.2025	22.01.2025	        2	       0	        2		0012	Usinagem de Eixos - ATRASO	28.02.2025
	*								22.01.2025		       16	       0	       16
		1109		020	1132680049	16005814	EIXO RSF MAC G56 1 DENTE	17.12.2024	23.01.2025	23.01.2025	        1	       0	        1	op entregue no corte 13/12 as 15:30 por MARCELO	0025	Engenharia de Desenvolvimento	03.03.2025
		1109		020	1132680049	16005814	EIXO RSF MAC G56 1 DENTE	17.12.2024	23.01.2025	23.01.2025	        1	       0	        1	op entregue no corte 13/12 as 15:30 por MARCELO	0012	Usinagem de Eixos - ATRASO	21.02.2025
		1109		100	1132909012	18155168	ENGR ROSCA SEM FIM S04 30 DENTES	22.01.2025	23.01.2025	23.01.2025	        5	       4	        1		0025	Engenharia de Desenvolvimento	21.02.2025
		1109		100	1132909012	18155168	ENGR ROSCA SEM FIM S04 30 DENTES	22.01.2025	23.01.2025	23.01.2025	        5	       4	        1		0013	Usinagem de fundidos - ATRASO	21.02.2025
	*								23.01.2025		       12	       8	        4
		1109		020	1132694565	15950197	EIXO RSF MAC M12 2 DENTES	17.12.2024	24.01.2025	27.01.2025	        3	       0	        3	op entregue no corte 13/12 as 15:30 por MARCELO	0012	Usinagem de Eixos - ATRASO	21.02.2025
		1109		040	1132847875	15967318	FLANGE ENTR IEC 241	20.01.2025	24.01.2025	24.01.2025	       10	       3	        7	Aguardando parafusos estoque A -  Emilia 16/01	0013	Usinagem de fundidos - ATRASO	21.02.2025
		1109		100	1132909014	18155259	ENGR ROSCA SEM FIM S06 36 DENTES	22.01.2025	24.01.2025	24.01.2025	        5	       0	        5		0013	Usinagem de fundidos - ATRASO	21.02.2025
		1109		100	1132909016	18155263	ENGR ROSCA SEM FIM S07 44 DENTES	23.01.2025	24.01.2025	24.01.2025	        5	       1	        4		0013	Usinagem de fundidos - ATRASO	21.02.2025
	*								24.01.2025		       23	       4	       19
		1109		100	1132909018	18155169	ENGR ROSCA SEM FIM S04 33 DENTES	24.01.2025	27.01.2025	27.01.2025	        5	       3	        2		0013	Usinagem de fundidos - ATRASO	21.02.2025
